Time[s]	Voltage[kV]	Displacement[$\mu$-m]
2.632145196250907659e+01	3.711556109186034291e+00	1.429180771595114585e+00
2.635289933641888283e+01	3.756614710479066144e+00	1.450350804856352038e+00
2.638434671032869261e+01	3.797958561419251922e+00	1.469776630639270554e+00
2.641579408423849884e+01	3.835546778898595743e+00	1.487438725550863872e+00
2.644724145814830507e+01	3.869342193589156320e+00	1.503319377397964951e+00
2.647868883205811485e+01	3.899311386698134818e+00	1.517402625881960176e+00
2.651013620596792109e+01	3.925424723014235173e+00	1.529674319434604080e+00
2.654158357987773087e+01	3.947656380212638982e+00	1.540122143656315057e+00
2.657303095378753710e+01	3.965984374389537326e+00	1.548735629076707587e+00
2.660447832769734688e+01	3.980390581801063643e+00	1.555506145944462126e+00
